# UMA data for diatomic biphenyl
# DISTANCE	ENERGY
0.0	-12606.231942878134
2.0	-12606.233153806097
4.0	-12606.23681782282
6.0	-12606.242805347807
8.0	-12606.250910506613
10.0	-12606.260861859686
12.0	-12606.272338614828
14.0	-12606.284987078077
16.0	-12606.298437700636
18.0	-12606.312320695288
20.0	-12606.326279983885
22.0	-12606.339986429579
24.0	-12606.35314284361
26.0	-12606.36549590624
28.0	-12606.376834497816
30.0	-12606.386994467146
32.0	-12606.395854459173
34.0	-12606.403337941534
36.0	-12606.409407363302
38.0	-12606.414061293966
40.0	-12606.417327986128
42.0	-12606.419261203177
44.0	-12606.419935689337
46.0	-12606.41944180525
48.0	-12606.417884931929
50.0	-12606.415382013685
52.0	-12606.412057028181
54.0	-12606.408037648565
56.0	-12606.403453336126
58.0	-12606.398428664572
60.0	-12606.393085227377
62.0	-12606.387537703878
64.0	-12606.381895885832
66.0	-12606.376260862715
68.0	-12606.370728955633
70.0	-12606.365387902624
72.0	-12606.360320315725
74.0	-12606.355597362883
76.0	-12606.351285205252
78.0	-12606.347440109617
80.0	-12606.344110951788
82.0	-12606.341338262922
84.0	-12606.339155302412
86.0	-12606.337587581045
88.0	-12606.336652861006
90.0	-12606.33636354006
92.0	-12606.336722240812
94.0	-12606.337727175123
96.0	-12606.339367733366
98.0	-12606.341626034147
100.0	-12606.344476924307
102.0	-12606.347888098127
104.0	-12606.351818547613
106.0	-12606.356218204863
108.0	-12606.361030564673
110.0	-12606.366188393004
112.0	-12606.37161873377
114.0	-12606.377238021261
116.0	-12606.382956252462
118.0	-12606.38867686785
120.0	-12606.394296870596
122.0	-12606.399706945784
124.0	-12606.40479157961
126.0	-12606.409430609114
128.0	-12606.413498983748
130.0	-12606.416869030363
132.0	-12606.419412598974
134.0	-12606.421006069548
136.0	-12606.421531186468
138.0	-12606.42088149584
140.0	-12606.418963895208
142.0	-12606.415702686674
144.0	-12606.411043153174
146.0	-12606.404953465826
148.0	-12606.397434220678
150.0	-12606.38852082289
152.0	-12606.378288135893
154.0	-12606.366857514746
156.0	-12606.3543964485
158.0	-12606.341119394667
160.0	-12606.327286467917
162.0	-12606.313197718031
164.0	-12606.299188123114
166.0	-12606.28561769522
168.0	-12606.272857652075
170.0	-12606.261278376944
172.0	-12606.251233444578
174.0	-12606.243042097456
176.0	-12606.236974583036
178.0	-12606.233234033949
180.0	-12606.231948004133
182.0	-12606.233159528143
184.0	-12606.23682294882
186.0	-12606.242810712225
188.0	-12606.250915274984
190.0	-12606.260866628058
192.0	-12606.272343025572
194.0	-12606.28499172724
196.0	-12606.29844211138
198.0	-12606.312324629194
200.0	-12606.326283679373
202.0	-12606.339988813765
204.0	-12606.353145347006
206.0	-12606.365498648054
208.0	-12606.37683712042
210.0	-12606.386996255285
212.0	-12606.395856247313
214.0	-12606.403339252836
216.0	-12606.409408436186
218.0	-12606.414062128431
220.0	-12606.417328820593
222.0	-12606.419261918432
224.0	-12606.419935927755
226.0	-12606.41944192446
228.0	-12606.41788481272
230.0	-12606.415382132895
232.0	-12606.412056789763
234.0	-12606.408037886984
236.0	-12606.403453216917
238.0	-12606.398428664572
240.0	-12606.39308475054
242.0	-12606.38753758467
244.0	-12606.381895528204
246.0	-12606.376260385878
248.0	-12606.370728598005
250.0	-12606.365387544996
252.0	-12606.360319362051
254.0	-12606.355597243673
256.0	-12606.351285086042
258.0	-12606.347440109617
260.0	-12606.34411059416
262.0	-12606.341337905294
264.0	-12606.339154825575
266.0	-12606.337586984999
268.0	-12606.336652741797
270.0	-12606.336362944014
272.0	-12606.336722121603
274.0	-12606.337726579077
276.0	-12606.339367256529
278.0	-12606.341625795729
280.0	-12606.344476685888
282.0	-12606.3478877405
284.0	-12606.351818428404
286.0	-12606.356217966444
288.0	-12606.361030207045
290.0	-12606.366188393004
292.0	-12606.371618137724
294.0	-12606.377237782843
296.0	-12606.382956014044
298.0	-12606.388676987059
300.0	-12606.394296751387
302.0	-12606.399706826574
304.0	-12606.404791341192
306.0	-12606.409430489904
308.0	-12606.413498864538
310.0	-12606.416868434317
312.0	-12606.419412241346
314.0	-12606.421005473501
316.0	-12606.421530232794
318.0	-12606.420880542166
320.0	-12606.418963060743
322.0	-12606.415702090628
324.0	-12606.411041841871
326.0	-12606.40495275057
328.0	-12606.397433267004
330.0	-12606.388519630797
332.0	-12606.37828682459
334.0	-12606.366855965025
336.0	-12606.35439477957
338.0	-12606.341117368109
340.0	-12606.327283845312
342.0	-12606.313194737799
344.0	-12606.29918526209
346.0	-12606.285613999731
348.0	-12606.272853718168
350.0	-12606.261274323828
352.0	-12606.251228914625
354.0	-12606.243037686712
356.0	-12606.236969933874
358.0	-12606.23322890795
360.0	-12606.231942758925
