# UMA data for diatomic ethane
# DISTANCE	ENERGY
0.0	-2171.136471693373
2.0	-2171.1368088768486
4.0	-2171.137803022719
6.0	-2171.1394420908455
8.0	-2171.1417076633934
10.0	-2171.144572977877
12.0	-2171.1480044172768
14.0	-2171.151963178969
16.0	-2171.1564036057953
18.0	-2171.161275033808
20.0	-2171.1665219114784
22.0	-2171.172085349417
24.0	-2171.1779027031425
26.0	-2171.183909301615
28.0	-2171.190038208819
30.0	-2171.1962227867607
32.0	-2171.2023944304947
34.0	-2171.2084862636093
36.0	-2171.2144327806
38.0	-2171.220169131613
40.0	-2171.225634519911
42.0	-2171.230770532942
44.0	-2171.2355230496887
46.0	-2171.2398412869934
48.0	-2171.243679826117
50.0	-2171.246998135901
52.0	-2171.249762003279
54.0	-2171.251941864348
56.0	-2171.25351542697
58.0	-2171.254465286589
60.0	-2171.2547828601364
62.0	-2171.254463617659
64.0	-2171.253511850691
66.0	-2171.251936619139
68.0	-2171.249754612303
70.0	-2171.2469889567856
72.0	-2171.2436680243973
74.0	-2171.239827577925
76.0	-2171.235506241179
78.0	-2171.2307508634094
80.0	-2171.2256112740997
82.0	-2171.2201417134766
84.0	-2171.2144004748825
86.0	-2171.208449427939
88.0	-2171.2023519919876
90.0	-2171.196174745417
92.0	-2171.1899848626617
94.0	-2171.1838506506447
96.0	-2171.1778391049866
98.0	-2171.17201775775
100.0	-2171.166451876021
102.0	-2171.1612035082344
104.0	-2171.1563326166633
106.0	-2171.151894991255
108.0	-2171.1479409979347
110.0	-2171.144515459395
112.0	-2171.141659204817
114.0	-2171.1394041226868
116.0	-2171.137776796675
118.0	-2171.136795227385
120.0	-2171.1364716337685
122.0	-2171.1368086980347
124.0	-2171.1378029035095
126.0	-2171.139442329264
128.0	-2171.1417076633934
130.0	-2171.144573156691
132.0	-2171.1480044172768
134.0	-2171.1519633577827
136.0	-2171.1564036057953
138.0	-2171.1612749742035
140.0	-2171.1665219114784
142.0	-2171.1720852898125
144.0	-2171.1779027031425
146.0	-2171.183909182406
148.0	-2171.190038328028
150.0	-2171.1962227867607
152.0	-2171.2023943112854
154.0	-2171.2084863828186
156.0	-2171.2144325421814
158.0	-2171.220169012404
160.0	-2171.2256347583298
162.0	-2171.230770532942
164.0	-2171.2355230496887
166.0	-2171.2398412869934
168.0	-2171.243679826117
170.0	-2171.2469980166916
172.0	-2171.2497621224884
174.0	-2171.251941983557
176.0	-2171.25351542697
178.0	-2171.2544654057983
180.0	-2171.254782740927
182.0	-2171.2544634984497
184.0	-2171.253511850691
186.0	-2171.25193649993
188.0	-2171.2497547315124
190.0	-2171.2469889567856
192.0	-2171.243668262816
194.0	-2171.239827458716
196.0	-2171.2355061219696
198.0	-2171.2307509826187
200.0	-2171.225611035681
202.0	-2171.2201415942673
204.0	-2171.2144004748825
206.0	-2171.2084496663574
208.0	-2171.2023519919876
210.0	-2171.196174745417
212.0	-2171.189984981871
214.0	-2171.1838506506447
216.0	-2171.1778391049866
218.0	-2171.1720176981453
220.0	-2171.1664517568115
222.0	-2171.1612034486297
224.0	-2171.1563327954773
226.0	-2171.151894991255
228.0	-2171.1479409979347
230.0	-2171.1445155189995
232.0	-2171.1416591452125
234.0	-2171.1394043015007
236.0	-2171.137776796675
238.0	-2171.1367952869896
240.0	-2171.136471693373
242.0	-2171.1368086980347
244.0	-2171.1378030823234
246.0	-2171.1394422100548
248.0	-2171.141707722998
250.0	-2171.1445730374817
252.0	-2171.1480044172768
254.0	-2171.151963298178
256.0	-2171.1564037250046
258.0	-2171.161275033808
260.0	-2171.1665219114784
262.0	-2171.172085528231
264.0	-2171.1779028819565
266.0	-2171.183909301615
268.0	-2171.190038328028
270.0	-2171.1962228463653
272.0	-2171.2023943112854
274.0	-2171.208486502028
276.0	-2171.2144325421814
278.0	-2171.2201692508224
280.0	-2171.2256347583298
282.0	-2171.230770532942
284.0	-2171.2355229304794
286.0	-2171.2398412869934
288.0	-2171.243679826117
290.0	-2171.246998135901
292.0	-2171.249762003279
294.0	-2171.251941864348
296.0	-2171.253515546179
298.0	-2171.2544654057983
300.0	-2171.2547829793457
302.0	-2171.254463617659
304.0	-2171.253511850691
306.0	-2171.25193649993
308.0	-2171.2497547315124
310.0	-2171.246989075995
312.0	-2171.2436681436066
314.0	-2171.239827577925
316.0	-2171.2355061219696
318.0	-2171.2307509826187
320.0	-2171.2256112740997
322.0	-2171.2201415942673
324.0	-2171.2144004748825
326.0	-2171.208449427939
328.0	-2171.202352111197
330.0	-2171.1961746262077
332.0	-2171.189984981871
334.0	-2171.1838506506447
336.0	-2171.177839045382
338.0	-2171.17201775775
340.0	-2171.1664517568115
342.0	-2171.1612034486297
344.0	-2171.1563327358726
346.0	-2171.1518949316505
348.0	-2171.1479409979347
350.0	-2171.1445156978134
352.0	-2171.141659204817
354.0	-2171.1394041822914
356.0	-2171.137776975489
358.0	-2171.1367952869896
360.0	-2171.1364716337685
