# UMA data for diatomic fluoropropadiene
# DISTANCE	ENERGY
0.0	-5872.447266192173
2.0	-5872.457460493778
4.0	-5872.483069033359
6.0	-5872.522119135593
8.0	-5872.572249502872
10.0	-5872.631280512546
12.0	-5872.697553963398
14.0	-5872.770006508564
16.0	-5872.848040909504
18.0	-5872.931273550724
20.0	-5873.019232601856
22.0	-5873.11109766457
24.0	-5873.2055784175145
26.0	-5873.301019997333
28.0	-5873.395743221973
30.0	-5873.488415331577
32.0	-5873.578222126697
34.0	-5873.664804072117
36.0	-5873.748074621891
38.0	-5873.828076452945
40.0	-5873.90488514397
42.0	-5873.978572458957
44.0	-5874.049195141529
46.0	-5874.11679586861
48.0	-5874.1814039656865
50.0	-5874.243038744663
52.0	-5874.301712841724
54.0	-5874.35743126366
56.0	-5874.410197825168
58.0	-5874.460009903644
60.0	-5874.5068643996465
62.0	-5874.550755114292
64.0	-5874.5916763255345
66.0	-5874.629618496631
68.0	-5874.664575667118
70.0	-5874.696538538669
72.0	-5874.725499243473
74.0	-5874.751450152134
76.0	-5874.774383635257
78.0	-5874.79429194424
80.0	-5874.811167330478
82.0	-5874.825003833507
84.0	-5874.835794777607
86.0	-5874.843535394405
88.0	-5874.848220915531
90.0	-5874.849847526287
92.0	-5874.8484134385335
94.0	-5874.843918294643
96.0	-5874.836361856197
98.0	-5874.825745911335
100.0	-5874.812074632381
102.0	-5874.795352787708
104.0	-5874.775585503315
106.0	-5874.752779812549
108.0	-5874.726941437458
110.0	-5874.6980788419
112.0	-5874.666197390293
114.0	-5874.631303639148
116.0	-5874.593402714466
118.0	-5874.552500099872
120.0	-5874.508598179554
122.0	-5874.4617019603
124.0	-5874.411813111042
126.0	-5874.35893473122
128.0	-5874.303069443439
130.0	-5874.244219631885
132.0	-5874.182387203907
134.0	-5874.117573351597
136.0	-5874.049776882862
138.0	-5873.978997320865
140.0	-5873.905226797794
142.0	-5873.828455776905
144.0	-5873.748672814106
146.0	-5873.665870280002
148.0	-5873.580065579151
150.0	-5873.491335720752
152.0	-5873.399880261158
154.0	-5873.306125492786
156.0	-5873.210825533603
158.0	-5873.115140289997
160.0	-5873.020620913242
162.0	-5872.92902574036
164.0	-5872.842018456196
166.0	-5872.76088079903
168.0	-5872.686468214725
170.0	-5872.619470686649
172.0	-5872.560860724186
174.0	-5872.512219519352
176.0	-5872.475699515079
178.0	-5872.453542322849
180.0	-5872.4473648974645
182.0	-5872.457563013767
184.0	-5872.483171076511
186.0	-5872.522219271396
188.0	-5872.572345347141
190.0	-5872.6313687274205
192.0	-5872.6976316878545
194.0	-5872.7700706431615
196.0	-5872.848090977405
198.0	-5872.931308359836
200.0	-5873.019252629017
202.0	-5873.111105293964
204.0	-5873.205576987003
206.0	-5873.301012844776
208.0	-5873.395730824207
210.0	-5873.488399595951
212.0	-5873.578205437397
214.0	-5873.664785237049
216.0	-5873.748055548404
218.0	-5873.828057856296
220.0	-5873.9048663089025
222.0	-5873.978552908634
224.0	-5874.049175829624
226.0	-5874.116777033542
228.0	-5874.1813848922
230.0	-5874.243020624851
232.0	-5874.3016944834935
234.0	-5874.357413620685
236.0	-5874.410180420612
238.0	-5874.459993214344
240.0	-5874.506848902439
242.0	-5874.550739855503
244.0	-5874.5916610667455
246.0	-5874.629604191517
248.0	-5874.66456183884
250.0	-5874.696525664066
252.0	-5874.725487560962
254.0	-5874.751439304088
256.0	-5874.774372906421
258.0	-5874.794282049869
260.0	-5874.811158508991
262.0	-5874.824995965694
264.0	-5874.835787625049
266.0	-5874.843529672359
268.0	-5874.848215431904
270.0	-5874.849843473171
272.0	-5874.848410219883
274.0	-5874.843915910457
276.0	-5874.836359829639
278.0	-5874.825745434498
280.0	-5874.812075466846
282.0	-5874.795354575847
284.0	-5874.775588364338
286.0	-5874.7527827927815
288.0	-5874.7269458482015
290.0	-5874.698084206318
292.0	-5874.666204066013
294.0	-5874.631310791706
296.0	-5874.593411297535
298.0	-5874.552508682941
300.0	-5874.508607954715
302.0	-5874.461712450718
304.0	-5874.4118245551335
306.0	-5874.358947605823
308.0	-5874.303083033298
310.0	-5874.244233937
312.0	-5874.182401985859
314.0	-5874.117588610386
316.0	-5874.049793810581
318.0	-5873.9790142485845
320.0	-5873.9052446791875
322.0	-5873.828474373554
324.0	-5873.748691887592
326.0	-5873.665891260837
328.0	-5873.580086559986
330.0	-5873.4913555094945
332.0	-5873.399900526737
334.0	-5873.306144089435
336.0	-5873.210840792392
338.0	-5873.115150780414
340.0	-5873.020622582172
342.0	-5872.929016442035
344.0	-5872.841996044849
346.0	-5872.760844797825
348.0	-5872.686417669986
350.0	-5872.619409174656
352.0	-5872.5607877681
354.0	-5872.5121375033605
356.0	-5872.475609392856
358.0	-5872.4534474322545
360.0	-5872.447266192173
