# UMA data for diatomic mol_23
# DISTANCE	ENERGY
0.0	-15031.080926213763
2.0	-15031.081005905173
4.0	-15031.081354234717
6.0	-15031.081953797839
8.0	-15031.082770977519
10.0	-15031.083764944575
12.0	-15031.084883306525
14.0	-15031.086066816351
16.0	-15031.087253008387
18.0	-15031.088376555941
20.0	-15031.089374754927
22.0	-15031.090183828375
24.0	-15031.090749357245
26.0	-15031.091021750472
28.0	-15031.090957913897
30.0	-15031.090526853106
32.0	-15031.089704368613
34.0	-15031.088475559256
36.0	-15031.08683959057
38.0	-15031.084799979231
40.0	-15031.082371745608
42.0	-15031.079575512907
44.0	-15031.076440010569
46.0	-15031.073001359007
48.0	-15031.069296274683
50.0	-15031.065370295546
52.0	-15031.06126800587
54.0	-15031.057038877509
56.0	-15031.052735243342
58.0	-15031.048405442736
60.0	-15031.044103835127
62.0	-15031.039880965254
64.0	-15031.035783741972
66.0	-15031.031861458323
68.0	-15031.028157208464
70.0	-15031.024711583159
72.0	-15031.021559987566
74.0	-15031.018737528822
76.0	-15031.016271088622
78.0	-15031.014185104868
80.0	-15031.012499664328
82.0	-15031.011232409975
84.0	-15031.010397348902
86.0	-15031.01000413706
88.0	-15031.010055814288
90.0	-15031.010550056002
92.0	-15031.011478636763
94.0	-15031.012831364176
96.0	-15031.014594827197
98.0	-15031.016749058268
100.0	-15031.019268844626
102.0	-15031.022125874064
104.0	-15031.025288436911
106.0	-15031.028720531962
108.0	-15031.032386038802
110.0	-15031.03624043276
112.0	-15031.040240262053
114.0	-15031.044337962172
116.0	-15031.048480604193
118.0	-15031.052618418238
120.0	-15031.056696746848
122.0	-15031.0606639724
124.0	-15031.064465377829
126.0	-15031.068050358794
128.0	-15031.071370158694
130.0	-15031.074376974604
132.0	-15031.07702956011
134.0	-15031.079290602705
136.0	-15031.081127200625
138.0	-15031.08251330664
140.0	-15031.08343097975
142.0	-15031.083870206377
144.0	-15031.083828065894
146.0	-15031.083311591647
148.0	-15031.082337294123
150.0	-15031.080930862925
152.0	-15031.079130087397
154.0	-15031.076980505488
156.0	-15031.074539337656
158.0	-15031.071871135733
160.0	-15031.069047723315
162.0	-15031.066148195765
164.0	-15031.06325385382
166.0	-15031.060448084376
168.0	-15031.057813320658
170.0	-15031.05542865803
172.0	-15031.053365622065
174.0	-15031.051687930129
176.0	-15031.050448332331
178.0	-15031.049685094855
180.0	-15031.049421880743
182.0	-15031.049668047926
184.0	-15031.050414655707
186.0	-15031.051637564204
188.0	-15031.05329856684
190.0	-15031.0553448539
192.0	-15031.057713959715
194.0	-15031.06033406069
196.0	-15031.063125823042
198.0	-15031.066008720896
200.0	-15031.068899128935
202.0	-15031.071716163657
204.0	-15031.074383531115
206.0	-15031.076828573248
208.0	-15031.078986082575
210.0	-15031.080800745985
212.0	-15031.082225595019
214.0	-15031.083223674796
216.0	-15031.08376732876
218.0	-15031.08383945038
220.0	-15031.083431993029
222.0	-15031.082545850775
224.0	-15031.081190619967
226.0	-15031.079382751486
228.0	-15031.077146266005
230.0	-15031.074510846636
232.0	-15031.071513925097
234.0	-15031.068194005988
236.0	-15031.064597759745
238.0	-15031.060774240992
240.0	-15031.056773875258
242.0	-15031.052649293444
244.0	-15031.048452411196
246.0	-15031.044238839648
248.0	-15031.04005799105
250.0	-15031.035963688395
252.0	-15031.032003913424
254.0	-15031.028225396178
256.0	-15031.02467117121
258.0	-15031.021380458376
260.0	-15031.018389020464
262.0	-15031.015732679865
264.0	-15031.013440225623
266.0	-15031.0115419965
268.0	-15031.010059509776
270.0	-15031.009007249377
272.0	-15031.00839916279
274.0	-15031.008242640994
276.0	-15031.008542511961
278.0	-15031.009296868346
280.0	-15031.01049843838
282.0	-15031.012133811018
284.0	-15031.014187787077
286.0	-15031.01664051821
288.0	-15031.019468997023
290.0	-15031.022644076846
292.0	-15031.02613422682
294.0	-15031.029901061556
296.0	-15031.033903811476
298.0	-15031.038096998236
300.0	-15031.042433534167
302.0	-15031.046862159274
304.0	-15031.05133030226
306.0	-15031.055784676573
308.0	-15031.060170982382
310.0	-15031.064434502623
312.0	-15031.068527493975
314.0	-15031.07239839842
316.0	-15031.076000485918
318.0	-15031.079294059775
320.0	-15031.082241449854
322.0	-15031.084813628695
324.0	-15031.086985681555
326.0	-15031.08874240925
328.0	-15031.090078804991
330.0	-15031.090995643637
332.0	-15031.091505501769
334.0	-15031.091632638476
336.0	-15031.091407154105
338.0	-15031.09087106993
340.0	-15031.090074453852
342.0	-15031.089072738192
344.0	-15031.0879268985
346.0	-15031.086701784632
348.0	-15031.085463557742
350.0	-15031.084275339148
352.0	-15031.083197865984
354.0	-15031.082284603617
356.0	-15031.0815811496
358.0	-15031.081120524905
360.0	-15031.080926154158
